last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Syed,,,Biology,MDPI,Chemokines in cancer development and progression and their potential as targeting molecules for cancer treatment,Arora                    Shweta,6,,2014
Sharifi                    Roya,         Biology        ,,Cell Journal (Yakhteh),Royan Institute,Lower plasma NAMPT/visfatin levels are associated with impaired hepatic mitochondrial function in non-diabetic obese women: a potential link between obesity and non-alcoholic fatty liver disease,Ilbeigi                    Davod,8,,2012
Matsumoto                    Takuya,,,SpringerPlus,Elsevier,An integer programming formulation for a case study in university timetabling,Shimazaki                    Syunsuke,3,,1989
Ma                    Xiaochang,,,Frontiers in Cardiovascular Medicine,Frontiers Media S.A.,"The interplay between nutrition, metabolic, and endocrine disorders in chronic kidney disease",Wang                    Anzhu,8,,2021
Fracasso                    Paula M.,,,Frontiers in Oncology,Presented at: Connective Tissue Oncology Society (CTOS) 2020; Virtual,T-Cell Therapy for Lymphoma Using Nonengineered Multiantigen-Targeted T Cells Is Safe and Produces Durable Clinical Effects,Hong                    David S.,25,,2021
Wu                    Yuanming,,,Endocrine Connections,Bioscientifica Ltd,"DAX-1, as an androgen-target gene, inhibits aromatase expression: a novel mechanism blocking estrogen-dependent breast cancer cell proliferation",Yuan                    Lijuan,9,,2013
Yang                    Juhua,,,Molecular Vision,Molecular Vision,Novel mutations in CRYGD are associated with congenital cataracts in Chinese families.,Zhuang                    Jianfu,10,,2016
Fang                    Jing-Yuan,,,Scientific Reports,Nature Publishing Group,Pervasive sharing of genetic effects in autoimmune disease,Hu                    Ye,6,,2011
Yang                    Lan,,,Journal of Cellular and Molecular Medicine,John Wiley and Sons Inc.,Protease‐activated receptor‐2 activation in gastric cancer cells promotes epidermal growth factor receptor trans‐activation and proliferation,He                    Shengnan,8,,2006
Stoica                    Cristian Ioan,,,Experimental and Therapeutic Medicine,D.A. Spandidos,Primary subtalar arthrodesis for the treatment of comminuted calcaneal fractures,Dragosloveanu                    Şerban,5,,1996
Orazov                    Mekan,"""        Womens Sexual Health       """,,Sexual Medicine,Williams & Wilkins,Core and skin temperature influences on the surface electromyographic responses to an isometric force and position task,Elena                    Silantyeva,5,,1985
Barnard                    Antoni,,,Frontiers in Psychology,Sage,Opting-out and opting-in: a review and agenda for future research,Barnard                    Antoni,1,,2016
Danquah                    Samuel,,,Biopsychosocial Medicine,Kalamazoo: Fetzer Institute,“I want the one that will heal me completely so it won’t come back again”: the limits of antipsychotic medication in rural Ghana,Kretchy                    Irene,3,,2012
Lim,,,Scientific Reports,Nature Publishing Group UK,A Relationship between REM Sleep Measures and the Duration of Posttraumatic Stress Disorder in a Young Adult Urban Minority Population,Modarres                    Mo H.,4,,2014
Liu                    Quanyan,,,Frontiers in Genetics,Frontiers Media S.A.,"Non-SMC condensin I complex, subunit G (NCAPG) is a novel mitotic gene required for hepatocellular cancer cell proliferation and migration.",Gu                    Yang,9,,2018
Martino                    Piera Anna,,,Antibiotics,Oxford University Press,Cytoscape: A software environment for integrated models of biomolecular interaction networks,Wind,9,,2003
Liang,,,Oncogene,Nature Publishing Group UK,Knockdown of IFI27 inhibits cell proliferation and invasion in oral squamous cell carcinoma,Lao                    Mengyi,12,,2018
Konrad                    Robert J.,,,Journal of Lipid Research,American Society for Biochemistry and Molecular Biology,An updated ANGPTL3-4-8 model as a mechanism of triglyceride partitioning between fat and oxidative tissues,Balasubramaniam                    Deepa,17,"Lilly Research Laboratories, Eli Lilly and Company, Indianapolis, IN, USA",2022
Lasser                    Theo,        Microscopy       ,,Biomedical Optics Express,Optical Society of America,Super-resolution imaging with small organic fluorophores,Geissbuehler                    Stefan,3,,2009
Zarghi                    Afshin,,,Iranian Journal of Pharmaceutical Research : IJPR,Shaheed Beheshti University of Medical Sciences,Stability of O-phthalaldehyde-derived isoindoles,Samiei                    Nasim,4,,1986
Jia,,,Signal Transduction and Targeted Therapy,Nature Publishing Group UK,Small molecule degraders of the hepatitis C virus protease reduce susceptibility to resistance mutations,Zhao                    Lin,5,,2019
Rubagotti,,,"Sensors (Basel, Switzerland)",Princeton University Press,Detecting Elementary Arm Movements by Tracking Upper Limb Joint Angles With MARG Sensors,Shintemirov,7,,2016
Geissmann                    Fréderic,,,Immunity,Cell Press,The CD14+ CD16+ blood monocytes: Their role in infection and inflammation,Cros                    Jérôme,15,,2007
JIA                    Qi,,,Iranian Journal of Public Health,Tehran University of Medical Sciences,Analyzing the Influencing Factors of Urban Thermal Field Intensity Using Big-Data-Based GIS,HUANG                    Huanchun,5,,2020
Frean                    John,,,Tropical Medicine and Infectious Disease,MDPI,"A politics of priority setting: Ideas, interests and institutions in healthcare resource allocation",Zhou,9,,2014
Kim                    Hak Hee,,,BMC Medical Imaging,American College of Radiology,Ki-67 is a prognostic parameter in breast cancer patients: results of a large population-based cohort of a cancer registry,Yoon                    Ga Young,6,,2013
Liu                    Yuanhua,,,Molecular Medicine Reports,D.A. Spandidos,CDK6 as a key regulator of hematopoietic and leukemic stem cell activation,Liu                    Guanghui,7,"Department of Gastrointestinal Surgery, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan 450008, P.R. China",2015
Perez-Berna                    Ana Joaquina,,,International Journal of Molecular Sciences,MDPI,The RASSF1A tumor suppressor blocks cell cycle progression and inhibits cyclin D1 accumulation,Dubois,8,,2002
Giamas                    Georgios,,,Communications Biology,Nature Publishing Group UK,The PRIDE database and related tools and resources in 2019: improving support for quantification data,Lane                    Rosemary,11,,2019
Lofrano-Porto,         Pituitary and Neuroendocrinology        ,,Journal of the Endocrine Society,Elsevier/Saunders,Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche,Valadares,11,,2014
Lin,        1506       ,,The British Journal of Ophthalmology,BMJ Publishing Group,Grad-CAM: visual explanations from deep networks via Gradient-Based localization,Li                    Yonghao,16,,2017
Hong                    Kyeong-Man,,,Experimental & Molecular Medicine,Nature Publishing Group UK,Detection and quantification of rare mutations with massively parallel sequencing,Kim                    Young-Woo,10,,2011
Rickard                    Claire,,,Trials,Saunders/Elsevier,epic3: national evidence-based guidelines for preventing health care associated infections in NHS hospitals in England,Keogh                    Samantha,6,,2014
Fan                    D,,,Oncogene,Nature Publishing Group,miR-185 and miR-133b deregulation is associated with overall survival and metastasis in colorectal cancer,Zhang                    Z,10,,2011
Izquierdo Ayuso                    G,,,"Multiple sclerosis journal - experimental, translational and clinical",SAGE Publications,Elevated CSF free kappa light chains correlate with disability prognosis in multiple sclerosis,Menéndez-Valladares                    P,9,"Unidad de Gestión Clínica Neurociencias, Hospital Universitario Virgen Macarena, Spain",2006
Tchounwou                    Paul B.,,,International Journal of Environmental Research and Public Health,California State University,Attitudes Toward Patient Safety among Medical Students in Malaysia,Mohd Kamaruzaman                    Ahmad Zulfahmi,7,,2020
Metha                    Andrew,        Cardiovascular Applications       ,,Biomedical Optics Express,Optical Society of America,Detection of influential observations in linear regression,Bedggood                    Phillip,2,"Department of Optometry and Vision Sciences, The University of Melbourne, 3010,",1977
Mila-Kierzenkowska                    Celestyna,,,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,Urban & Schwarzenberg,Bifurcation level of the aorta: landmark for pelvic irradiation,Szpinda                    Michał,5,,1975
Yamawaki                    Shigeto,,,International Journal of Neuropsychopharmacology,American Psychiatric Association,"An RNA-sequencing transcriptome and splicing database of glia, neurons, and vascular cells of the cerebral cortex",Itagaki                    Kei,10,,2014
Terkeltaub                    R,        1506       ,,RMD Open,Elsevier Saunders,Wide-field imaging of birefringent synovial fluid crystals using lens-free polarized microscopy for gout diagnosis,Wu                    Y,3,,2016
Maartens                    Gary,         Public Health        ,,PLoS ONE,WHO,Does how you do depend on how you think you'll do? A systematic review of the evidence for a relation between patients' recovery expectations and health outcomes.,Rachlis                    Beth S.,4,"University of Cape Town, South Africa",2001
Tsai                    Fuu-Jen,,,International Journal of Molecular Sciences,MDPI,Vitamin D3 protects against diabetic retinopathy by inhibiting high-glucose-induced activation of the ROS/TXNIP/NLRP3 inflammasome pathway,Liao                    Wen-Ling,9,,2018
Meier                    Pascal,,,Molecular Cell,Cell Press,Polo-like kinases: structural variations lead to multiple functions,Liccardi                    Gianmaria,25,,2014
