article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Rosa                 Vinícius,,Journal of Applied Oral Science,1678-7765,Mosby,Original Article,Mechanical properties and microstructures of glass-ionomer cements,Bona                    Álvaro Della,3,,2000,,,,PMC4327472, ,
case-report,Saleh-Mghir                 A,,Open Forum Infectious Diseases,2328-8957,Oxford University Press,AcademicSubjects/MED00290,Spinal cord injury (SCI) 2016 facts and figures at a glance,Davido,11,,2016,,UMR UVSQ INSERM U1173 UFR Simone Veil des Sciences de la Santé,,PMC9246273, ,France
research-article,Mai                 Sabine,,"Radiation Oncology (London, England)",1748-717X,BioMed Central,Research,Intensity modulated radiation therapy (IMRT): differences in target volumes and improvement in clinically relevant doses to small bowel in rectal carcinoma,Reis                    Tina,6,,2011,,,,PMC4324657, ,
research-article,Wang                 Quanxing,,Oncotarget,1949-2553,Impact Journals LLC,Research Paper,Integrin-mediated activation of focal adhesion kinase is required for signaling to Jun NH2-terminal kinase and progression through the G1 phase of the cell cycle,Zhan                    Yangyang,10,,1999,,,,PMC5620164, ,
research-article,van Walsum                 Theo,,International Journal of Computer Assisted Radiology and Surgery,1861-6429,Springer Berlin Heidelberg,Original Article,Simultaneous extraction of carotid artery intima-media interfaces in ultrasound images: assessment of wall thickness temporal variation during the cardiac cycle,Zahnd                    Guillaume,7,,2013,,,,PMC4563002, ,
research-article,Tang                 Sha,,Genetics in Medicine,1530-0366,Nature Publishing Group,Original Research Article,"Analysis of protein-coding genetic variation in 60,706 humans",Farwell Hagman                    Kelly D.,19,,2013,,Department of Genetics Kaiser Permanente,,PMC5303763, ,USA
research-article,Holmes                 A.,,Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,1537-6591,Oxford University Press,Articles and Commentaries,Antibiotic stewardship programmes—what's missing?,Charani                    E.,7,,2010,,Imperial College London,CDF-2011-04-017,PMC3689346, ,United Kingdom
research-article,Salama,,Biosensors,2079-6374,Elsevier,Article,‘All In One’ SARS-CoV-2 variant recognition platform: Machine learning-enabled point of care diagnostics,Khushaim                    Walaa,5,,2022,"King Abdullah University of Science and Technology (KAUST), KAUST Smart Health Initiative, This research was funded by King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia, and KAUST Smart Health Initiative.",,,PMC9599711, ,
research-article,Wang                 Shuiyun,,Molecular Genetics & Genomic Medicine,2324-9269,John Wiley and Sons Inc.,Original Articles,Prevalence of idiopathic hypertrophic cardiomyopathy in China: A population‐based echocardiographic analysis of 8080 adults,Cui                    Hao,11,,2004,"The National High Technology Research and Development Program of China (863 program), 2015AA020407, CAMS Innovation Fund for Medical Sciences, 2016‐I2M‐1‐015, Beijing Science and Technology Program, Z161100000516154, National Natural Science Foundation of China, 81470380 81570276",Chinese Academy of Medical Sciences and Peking Union Medical College,81470380 81570276,PMC6305649, ,China
research-article,Darzi                 Ara,,BMC Medical Research Methodology,1471-2288,Banff,Research Article,Hierarchical topic models and the nested chinese restaurant process,Aufegger                    Lisa,5,,2004,"http://dx.doi.org/10.13039/501100002001, Health Services and Delivery Research Programme, P69339, P61965, Bicknell, Colin, Darzi, Ara",Health Services and Delivery Research Programme,P61965,PMC6567495, ,
research-article,Maziya-Dixon                 Busie,,Frontiers in Nutrition,2296-861X,"Loveland, CO., Hach Company",Original Research,Evaluation of various starchy foods: a systematic review and meta-analysis on chemical properties affecting the glycemic index values based on,Eyinla                    Toluwalope Emmanuel,3,,2021,,Department of Human Nutrition and Dietetics College of Medicine University of Ibadan,,PMC9500522, ,Nigeria
research-article,Hodgson                 Jonathan M,,BMJ Open,2044-6055,IBM Corp,"1506, 1683",A meta-analysis of fear appeals: implications for effective public health campaigns,Radavelli-Bagatini,25,,2017,"National Heart Foundation of Australia Post-Doctoral Research Fellowship, ID 102498, NHMRC of Australia Emerging Leadership Investigator Grant, ID 1172987, National Health and Medical Research Council of Australia Senior Research Fellowship, ID 1116973, National Institute of Arthritis, Musculoskeletal and Skin Diseases, R01 AR 41398, National Heart Foundation of Australia future leader fellowship, ID 102817",National Heart Foundation of Australia future leader fellowship,ID 102817,PMC7661361, ,Australia
research-article,Amin                 Muhammad,,JMIR Research Protocols,1929-0748,JMIR Publications,Protocol,Identifying 'well-controlled' and 'not well-controlled' asthma using the Asthma Control Questionnaire,Eysenbach                    Gunther,10,,2006,,Universitas Airlangga Hospital,,PMC6315257, ,Indonesia
research-article,Wang                 Yalin,,STAR Protocols,2666-1667,Elsevier,Protocol,Topology-preserving smoothing of retinotopic maps,Tu                    Yanshuai,4,,2021,,National Institute of Biomedical Imaging and Bioengineering,,PMC9389414, ,
research-article,Albanell                 J,,British Journal of Cancer,1532-1827,Nature Publishing Group,Molecular Diagnostics,"An orally available small-molecule inhibitor of c-Met, PF-2341066, exhibits cytoreductive antitumor efficacy through antiproliferative and antiangiogenic mechanisms",Arriola                    E,15,,2007,,Autonomous University of Barcelona,,PMC3171012, ,Spain
research-article,Vinetz                 Joseph M.,,PLoS Neglected Tropical Diseases,1935-2735,Springer Berlin Heidelberg,Bacterial Pathogens,Diagnosis and epidemiology of leptospirosis,Guernier                    Vanina,11,,2013,"European Regional Development Funds (ERDF) POCT Reunion, LeptOI project, Tortosa, Pablo, This work was supported by European Regional Development Funds (ERDF) POCT Réunion (#32913), LeptOI project. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",European Regional Development Funds (ERDF) POCT Reunion,LeptOI project,PMC4905629, ,
research-article,Yang                 Xiao-Yu,,Cell Death & Disease,2041-4889,Nature Publishing Group UK,Article,Analysis of relative gene expression data using real-time quantitative PCR and the 2−ΔΔCT method,Li                    Ming,14,,2001,,Mengchao Hepatobiliary Hospital of Fujian Medical University,,PMC5938697, ,
data-paper,Seto                 Karen C.,,Scientific Data,2052-4463,Nature Publishing Group,Data Descriptor,The Evolution Of Complexity In The Valley Of Oaxaca,Reba                    Meredith,3,,2003,,Yale School of Forestry & Environmental Studies Yale University,,PMC4896125, ,USA
research-article,GHA-SEMI                 Matina,,Iranian Journal of Public Health,2251-6093,University of Pennsylvania,Original Article,Physiologically based pharmacokinetic modeling of ethyl acetate and ethanol in rodents and humans,GHADIRINEJAD                    Mazyar,4,,2015,,,,PMC5149471, ,
systematic-review,Jones                 Kerina H.,,Frontiers in Digital Health,2673-253X,Natural Language Processing (NLP) Service,Systematic Review,The Maudsley Biomedical Research Centre (BRC) data linkage service user and carer advisory group: creating and sustaining a successful patient and public involvement group to guide research in a complex area,Ford                    Elizabeth,6,,2019,"Engineering and Physical Sciences Research Council, 10.13039/501100000266",Engineering and Physical Sciences Research Council,,PMC8521813, ,United Kingdom
research-article,Costa                 Antonella,,Frontiers in Aging Neuroscience,1663-4365,Frontiers Media S.A.,Original Research,The role of iron and copper molecules in the neuronal vulnerability of locus coeruleus and substantia nigra during aging,Isaias                    Ioannis U.,8,,2004,,Italian National Research Council Institute of Biomedical Technologies,,PMC4992725, ,"Segrate, Italy"
research-article,Mydel                 Piotr,,International Journal of Molecular Sciences,1422-0067,"John Wiley & Sons, Inc.",Article,"Extraction, purification and analysis of histones",Aliko                    Ardita,11,,2000,,,,PMC6539144, ,
research-article,Duncan                 Titus D.,,JSLS : Journal of the Society of Laparoendoscopic Surgeons,1938-3797,Society of Laparoendoscopic Surgeons,Scientific Papers,What is the evidence for endoscopic thyroidectomy in the management of benign thyroid disease?,Rao                    Ravi S.,2,"Director of Minimally Invasive Surgery, Atlanta Medical Center Georgia, Atlanta, Georgia, USA.",2008,,,,PMC3030786,"After IRB approval, 3 female patients then underwent near total thyroidectomy, which was found to be feasible and extremely safe.5From January 2006 to September 2008, we used the ETTT approach on 22 consecutive patients.",
research-article,Duncan                 Titus D.,,JSLS : Journal of the Society of Laparoendoscopic Surgeons,1938-3797,Society of Laparoendoscopic Surgeons,Scientific Papers,What is the evidence for endoscopic thyroidectomy in the management of benign thyroid disease?,Rao                    Ravi S.,2,"Director of Minimally Invasive Surgery, Atlanta Medical Center Georgia, Atlanta, Georgia, USA.",2008,,,,PMC3030786,The patients included 20 women and 2 men.,
research-article,Neville                 Bryan W,,Translational Animal Science,2573-2102,American Society of Animal Science,Ruminant Nutrition,Case life of seven retail products from beef cattle supplemented with alpha-tocopheryl acetate,Larson                    Quynn P,3,,1999,,Carrington Research Extension Center North Dakota State University,,PMC7200450, ,
research-article,Brofman                 Paulo Roberto Slud,,Revista Brasileira de Ortopedia,2255-4971,Roca,Original Article,"Platelet-rich fibrin increases cell attachment, proliferation and collagen-related protein expression of human osteoblasts",Souza                    Fernanda Gimenez de,6,,2012,,,,PMC5771793, ,
research-article,Li                 Xiaoping,,Bioengineered,2165-5987,Taylor & Francis,Research Paper,PDLIM5 inhibits STUB1-mediated degradation of SMAD3 and promotes the migration and invasion of lung cancer cells,Ren                    Haixia,5,,2020,"The General Program of Tianjin Natural Science Foundation of China, 20JCYBJC00600, The General Program of Tianjin Natural Science Foundation of China (20JCYBJC00600).",The General Program of Tianjin Natural Science Foundation of China,20JCYBJC00600,PMC9161862, ,China
research-article,Facchiano,,Journal of Translational Medicine,1479-5876,BioMed Central,Research,GITR agonism—combination is key,Giampietri                    Claudia,6,,2019,"Italian Ministry of Health, RC2021. Line 3.4, Facchiano, Antonio",Italian Ministry of Health,RC2021. Line 3.4,PMC9559014, ,
review-article,Najar                 Mehdi,,Cells,2073-4409,Patent and Trademark Office,Review,The Impact of Cell-Expansion and Inflammation on The Immune-Biology of Human Adipose Tissue-Derived Mesenchymal Stromal Cells,Nikolits                    Ilias,6,"Institute for Cell and Tissue Culture Technology, Department of Biotechnology, University of Natural Resources and Life Sciences, Muthgasse 18, 1190 Vienna, Austria;",2020,,,,PMC8069108, ,
research-article,Kim,,Journal of Gastric Cancer,2093-5641,Mosby,Original Article,,Kim,5,,1997,"National Research Foundation of Korea, https://doi.org/10.13039/501100003725, 2014R1A2A1A09005824",National Research Foundation of Korea,2014R1A2A1A09005824,PMC7311214, ,Korea
research-article,Mailund                 Thomas,,PLoS ONE,1932-6203,Public Library of Science,"Population Growth, Population Size",The age of a neutral mutant persisting in a finite population,Park                    Leeyoung,2,,1973,"This work was supported by the Korea Research Foundation Grant funded by the Korean Government (MOEHRD) (KRF-2007-532-C00017) and by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2009-353-C00061). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3462787, ,
